Packung,Artikel,Farbe,GrÃ¶ÃŸe,Menge
38,16550,3010,4,50
38,16555,3010,1,50
39,16518,8000,4,50
39,16522,3010,4,50
39,16524,3010,3,50
39,16866,3010,4,50
40,13378,3000,2,50
40,13378,6278,5,50
40,16397,3010,1,50
40,16519,2040,3,50
40,16748,3010,3,50
40,16748,3010,5,50
40,16785,2000,2,50
40,20787,3080,1,50
40,27012,3000,1,50
41,16746,2020,3,50
41,16746,3010,5,50
41,86242,3180,3,50
41,86243,3010,3,50
41,86243,3010,3,50
41,86473,3010,4,50
41,86473,3010,4,50
41,86749,2020,2,50
41,86749,2028,2,50
42,14435,3080,5,50
42,14435,3080,6,50
42,14435,3080,6,50
42,14435,5930,5,50
42,14435,5930,6,50
42,14435,6000,4,50
42,14435,6370,5,50
42,14435,6543,5,50
42,14435,6543,5,50
42,83024,3000,4,50
42,83024,3000,6,50
43,14435,3000,3,50
43,14435,3000,7,50
43,14435,3070,6,50
43,14435,3070,6,50
43,14435,3080,4,50
43,14435,5410,6,50
43,14435,6370,5,50
43,14435,6370,6,50
43,83024,3000,6,50
43,83055,6000,4,50
43,83055,6000,5,50
44,16609,2000,3,50
44,16609,2000,3,50
44,16609,2000,4,50
44,16609,2000,5,50
44,16609,3000,3,50
44,16609,3400,2,50
44,16609,3400,3,50
44,16609,3400,3,50
44,16609,3400,5,50
44,16609,6120,3,50
44,16609,6120,4,50
44,46331,2000,1,50
45,16163,7765,3,50
45,16524,3400,2,50
45,16525,8680,3,50
45,16551,8680,2,50
45,16770,3000,4,50
46,16084,6120,3,50
46,16512,7820,4,50
46,16523,6249,3,50
46,16597,3010,3,50
46,16834,2000,2,50
47,13378,3000,2,50
47,16247,3180,3,50
47,16396,3010,4,50
47,16551,8680,2,50
47,16748,3010,3,50
47,16748,3010,3,50
47,16770,3000,5,50
47,20787,3080,1,50
48,13378,3000,2,50
48,16084,6120,3,50
48,16519,2040,3,50
48,16589,3010,3,50
48,16748,3010,4,50
48,16785,2000,2,50
48,16834,2000,2,50
48,27012,3775,1,50
49,13378,3000,2,50
49,13378,8546,4,50
49,16396,3010,3,50
49,16540,3002,2,50
49,16540,3002,2,50
49,16748,3010,3,50
49,16785,2000,2,50
49,27012,3000,1,50
50,13378,6278,5,50
50,16163,7765,4,50
50,16174,3010,5,50
50,16551,2040,2,50
50,16588,3010,3,50
50,16589,3010,3,50
50,16748,3010,5,50
50,20787,3080,1,50
51,16163,7765,3,50
51,16522,1085,2,50
51,16522,7821,2,50
51,16550,3010,3,50
51,16551,2040,2,50
52,16094,3010,3,50
52,16524,3400,4,50
52,16550,3010,4,50
52,16555,3010,1,50
53,16095,3010,3,50
53,16525,8680,4,50
53,16554,6941,3,50
53,16597,3010,3,50
54,11432,3010,3,50
54,16084,6120,3,50
54,16554,3010,3,50
