Artikel,Stuf03,Stuf11,Stuf12,Menge,Type/Form,Diametre
10488,600,800,600,700,FORM-J,5-6
13141,100,0,0,550,FORM A,10.5
13379,0,0,0,700,FORM B/S,10.5
13396,0,0,0,250,FORM B/S,10.5
14451,0,0,0,250,LUXURY,nan
14669,0,0,0,100,LUXURY,nan
15415,0,0,0,300,FORM B/S,10.5
15451,0,0,0,250,LUXURY,nan
21919,0,0,0,250,FORM B/S,10.5
22195,500,0,0,550,FORM CM,8.5
46378,0,0,0,600,FORM CM,8.5
46591,0,0,0,150,FORM CM,8.5
47520,0,0,0,1550,FORM T,8.5
85779,0,0,0,50,FORM B/S,10.5
