Artikel,Type/Form,Diametre
10488,FORM-J,5-6
13141,FORM A,10.5
13379,FORM B/S,10.5
13396,FORM B/S,10.5
14451,LUXURY,nan
14669,LUXURY,nan
15415,FORM B/S,10.5
15451,LUXURY,nan
21919,FORM B/S,10.5
22195,FORM CM,8.5
46378,FORM CM,8.5
46591,FORM CM,8.5
47520,FORM T,8.5
85779,FORM B/S,10.5
10555,FORM-J,5-6
